geo_point;geo_shape;ID_GEOFLA;Code Commune;Code Insee;Commune;x_chf_lieu;y_chf_lieu;x_centroid;y_centroid;altitude_moyenne;superficie;population;code_canton;code_arrondissement;Code D̩épartement;Année;R̩égion;D̩épartement;Statut;Code R̩égion;NOM_REG;code_com;nom_com;CODE_VILLE
48.8769868607,2.33753841595;"{""type"": ""Polygon"", ""coordinates"": [[[2.325761625469748, 48.86954613347617], [2.326237930175147, 48.87161370548764], [2.3267815674521612, 48.87638596142574], [2.327120697066301, 48.88348541661707], [2.327325239606297, 48.88348566666966], [2.337955506111846, 48.882249883375295], [2.347153412523655, 48.88330584373597], [2.349550840123216, 48.88362016791156], [2.349687756951921, 48.882811514902045], [2.349823945918236, 48.88096862639421], [2.349822810697755, 48.880295020678275], [2.34907399387057, 48.87791311472725], [2.348255293026379, 48.87589145184864], [2.347982803025813, 48.87467766254086], [2.347845439420342, 48.87377937568314], [2.347831771084856, 48.870624420334565], [2.339929810567673, 48.87193731051887], [2.328826705605644, 48.87004091101753], [2.327873362186078, 48.86986108895774], [2.327668873142871, 48.86986083983853], [2.325761625469748, 48.86954613347617]]]}";COMMUNE00000000000018163;109;75109;PARIS-9E-ARRONDISSEMENT;651677;6863807;651445;6864413;43;218;59427.0;;1;75;2016;ILE-DE-FRANCE;PARIS;Commune simple;11;ILE-DE-FRANCE;109;PARIS-9E-ARRONDISSEMENT;75056
48.8635257742,2.40121168869;"{""type"": ""Polygon"", ""coordinates"": [[[2.413270449780349, 48.87311698004449], [2.413270255726228, 48.87289214599203], [2.413837806908527, 48.86437641679679], [2.4151214552194142, 48.8561573094368], [2.41531512541882, 48.855173471684935], [2.415334971137624, 48.854983806482565], [2.41536771760538, 48.85473754541378], [2.415445717618864, 48.85434491175398], [2.415643098924275, 48.853272054588764], [2.4158409257736793, 48.85215872756842], [2.416202227882443, 48.85007669719995], [2.416292566526906, 48.84955461505012], [2.416341130298894, 48.84923378355176], [2.416349838517878, 48.84869961115584], [2.416028849762043, 48.846942508592164], [2.415971110769569, 48.846622956277], [2.399118444872594, 48.84809448473566], [2.399172668212494, 48.84835556962748], [2.398869257010142, 48.84961403928058], [2.398394056190455, 48.85123228310974], [2.396558055101348, 48.85361441057368], [2.394300442029356, 48.856491711482434], [2.386748352378341, 48.863335036953416], [2.378308103501238, 48.87075241734386], [2.377218985354729, 48.87165148863753], [2.3770153520998383, 48.87192112928036], [2.380217390330639, 48.87287306097228], [2.38689800913129, 48.87436258778108], [2.394403759688012, 48.87515893262442], [2.410484969028091, 48.87843002826462], [2.410690346638331, 48.87847510651618], [2.411641450258323, 48.877081328598855], [2.4130669325365313, 48.87375540741721], [2.413270449780349, 48.87311698004449]]]}";COMMUNE00000000000024623;120;75120;PARIS-20E-ARRONDISSEMENT;655946;6862971;655961;6862890;83;597;194771.0;;1;75;2016;ILE-DE-FRANCE;PARIS;Commune simple;11;ILE-DE-FRANCE;120;PARIS-20E-ARRONDISSEMENT;75056
48.8292048923,2.3267445538;"{""type"": ""Polygon"", ""coordinates"": [[[2.314145699672972, 48.82229053544158], [2.312147253873084, 48.82272874775067], [2.308315537176648, 48.823570052479326], [2.306959037060225, 48.8238679884309], [2.301866006231317, 48.82500216361957], [2.301315418488453, 48.825125760841566], [2.306970412350518, 48.82998023710605], [2.309146607212023, 48.83177808913951], [2.315748295773015, 48.837171803372584], [2.32064899371495, 48.84072256334741], [2.324050757867123, 48.84306849300187], [2.324663544625067, 48.8435180387231], [2.324813430556384, 48.843517985401355], [2.326175018315656, 48.843068785271186], [2.336387763960392, 48.83973526805245], [2.336592707177664, 48.839690537142836], [2.337136471667831, 48.839466011891474], [2.340200842435447, 48.83870140406635], [2.342038463594752, 48.83829691793253], [2.34176641142403, 48.835780788431656], [2.341493772233576, 48.828568124075204], [2.344418203666944, 48.81959400743183], [2.34441794743028, 48.81896443867725], [2.344009565449824, 48.8161336382798], [2.343902504744145, 48.81576700129677], [2.34376730460606, 48.81579683840154], [2.340319779160496, 48.81638585091945], [2.332144938408538, 48.81698172977806], [2.331898060637624, 48.81701092964178], [2.332461042459755, 48.81824713008295], [2.330413636639578, 48.81870426120844], [2.325562171287673, 48.819774243149055], [2.3205971644416152, 48.82086676725333], [2.314145699672972, 48.82229053544158]]]}";COMMUNE00000000000033524;114;75114;PARIS-14E-ARRONDISSEMENT;650587;6859427;650444;6859239;62;561;140799.0;;1;75;2016;ILE-DE-FRANCE;PARIS;Commune simple;11;ILE-DE-FRANCE;114;PARIS-14E-ARRONDISSEMENT;75056
48.8444087298,2.35049826183;"{""type"": ""Polygon"", ""coordinates"": [[[2.344559226085564, 48.85398930555956], [2.346465584808918, 48.853360292152324], [2.353970344273344, 48.85097728621711], [2.362548350376929, 48.84747083799684], [2.364318035619069, 48.84616719132947], [2.364453223364357, 48.846032106426854], [2.365950820880959, 48.84490865927767], [2.364656919925836, 48.84418950178663], [2.364179500143666, 48.84356101055063], [2.363294202923634, 48.84230259254609], [2.361591387182398, 48.840046909184046], [2.361387033828814, 48.839822776184725], [2.353080114102986, 48.83717267783027], [2.351718068951756, 48.83681365115241], [2.347144269070598, 48.83726274139024], [2.344897421913345, 48.83771273186587], [2.342038463594752, 48.83829691793253], [2.340200842435447, 48.83870140406635], [2.337136471667831, 48.839466011891474], [2.336592707177664, 48.839690537142836], [2.336864583893352, 48.84027483382859], [2.343741796102583, 48.852776092562976], [2.344218949829258, 48.8536294981705], [2.344559226085564, 48.85398930555956]]]}";COMMUNE00000000000017059;105;75105;PARIS-5E-ARRONDISSEMENT;651888;6860877;652337;6860432;43;252;60273.0;;1;75;2016;ILE-DE-FRANCE;PARIS;Commune simple;11;ILE-DE-FRANCE;105;PARIS-5E-ARRONDISSEMENT;75056
48.8628851439,2.35993164253;"{""type"": ""Polygon"", ""coordinates"": [[[2.350091264419375, 48.861951749822666], [2.35009094463861, 48.862086650131786], [2.350705083769544, 48.86311973538236], [2.350841320556306, 48.86334441157331], [2.351453566581511, 48.86442244862612], [2.352954153003017, 48.86707464125512], [2.353975524869111, 48.86891661444116], [2.35411149265971, 48.8692752858951], [2.354520466380245, 48.86927569343535], [2.363238955499569, 48.867790816367034], [2.363851339012572, 48.86743163828077], [2.364191894384677, 48.867116879697264], [2.366098043479301, 48.86406023223137], [2.366642492489265, 48.86311700468547], [2.368340704172586, 48.856501389365086], [2.368408572582041, 48.855962137621376], [2.368408572172818, 48.85573730004936], [2.364187035479922, 48.85645780685713], [2.363097753931241, 48.85681715023424], [2.360918472895475, 48.8575906636233], [2.359216281258059, 48.85835500124507], [2.357446054399118, 48.859658558153086], [2.355471078597608, 48.860648012347085], [2.35444979708971, 48.86100764265458], [2.350091264419375, 48.861951749822666]]]}";COMMUNE00000000000018221;103;75103;PARIS-3E-ARRONDISSEMENT;653171;6862837;652950;6862781;35;117;35666.0;;1;75;2016;ILE-DE-FRANCE;PARIS;Commune simple;11;ILE-DE-FRANCE;103;PARIS-3E-ARRONDISSEMENT;75056
48.8282706469,2.362358986;"{""type"": ""Polygon"", ""coordinates"": [[[2.365950820880959, 48.84490865927767], [2.366359353707236, 48.84459334988889], [2.3799123036561323, 48.83379556805533], [2.382429870905578, 48.831727456849485], [2.385762457586978, 48.82902942257556], [2.388891293984424, 48.82660186009519], [2.390072014511325, 48.825692326819635], [2.389445425188181, 48.82534466962421], [2.389019073965975, 48.82511315197843], [2.379296489779514, 48.82121375521783], [2.37777023460594, 48.82071116532139], [2.3765275258630902, 48.820303569669875], [2.374588822412214, 48.819672874182885], [2.369385494091025, 48.81803565555556], [2.365028986478496, 48.8166707224648], [2.3643833249855613, 48.81645773578984], [2.364204281172879, 48.816398323995635], [2.363946550191008, 48.816314210033596], [2.361421847126507, 48.81607410818807], [2.360386948335929, 48.81606407953954], [2.358438737669236, 48.81601316942619], [2.357466681971601, 48.815987263780066], [2.356894890172978, 48.81597159826168], [2.356545035221203, 48.815959822753385], [2.356464745813713, 48.815954893718335], [2.356328523627473, 48.81595775798059], [2.345958265891026, 48.8160363878139], [2.344036580527388, 48.815718270789844], [2.343902504744145, 48.81576700129677], [2.344009565449824, 48.8161336382798], [2.34441794743028, 48.81896443867725], [2.344418203666944, 48.81959400743183], [2.341493772233576, 48.828568124075204], [2.34176641142403, 48.835780788431656], [2.342038463594752, 48.83829691793253], [2.344897421913345, 48.83771273186587], [2.347144269070598, 48.83726274139024], [2.351718068951756, 48.83681365115241], [2.353080114102986, 48.83717267783027], [2.361387033828814, 48.839822776184725], [2.361591387182398, 48.840046909184046], [2.363294202923634, 48.84230259254609], [2.364179500143666, 48.84356101055063], [2.364656919925836, 48.84418950178663], [2.365950820880959, 48.84490865927767]]]}";COMMUNE00000000000016010;113;75113;PARIS-13E-ARRONDISSEMENT;652694;6859366;653344;6858482;47;714;183713.0;;1;75;2016;ILE-DE-FRANCE;PARIS;Commune simple;11;ILE-DE-FRANCE;113;PARIS-13E-ARRONDISSEMENT;75056
48.8727847697,2.31253091684;"{""type"": ""Polygon"", ""coordinates"": [[[2.327120697066301, 48.88348541661707], [2.3267815674521612, 48.87638596142574], [2.326237930175147, 48.87161370548764], [2.325761625469748, 48.86954613347617], [2.325215912695464, 48.86936678690197], [2.322410923052652, 48.86523193880858], [2.320777351580662, 48.86307503594067], [2.318938290985569, 48.863614086467145], [2.317984490954283, 48.863793021295436], [2.3141698789746092, 48.86383777393356], [2.301556272171617, 48.86347523496575], [2.301488462154745, 48.86405941688687], [2.298760189224802, 48.86886666746072], [2.297395254200948, 48.87111332236658], [2.296441453023204, 48.87228586093871], [2.295350820062902, 48.873592486953186], [2.295145392233802, 48.87386197967684], [2.296982744635593, 48.87642421634743], [2.297390717389426, 48.8770084846402], [2.298140326266548, 48.878042625559594], [2.298343635742688, 48.87813285191598], [2.309121684439903, 48.880426793133594], [2.312663726946662, 48.88087706362408], [2.316683858096023, 48.881372227184485], [2.327120697066301, 48.88348541661707]]]}";COMMUNE00000000000013119;108;75108;PARIS-8E-ARRONDISSEMENT;649931;6864367;649481;6864056;39;386;39175.0;;1;75;2016;ILE-DE-FRANCE;PARIS;Commune simple;11;ILE-DE-FRANCE;108;PARIS-8E-ARRONDISSEMENT;75056
48.8591103087,2.38017728226;"{""type"": ""Polygon"", ""coordinates"": [[[2.3770153520998383, 48.87192112928036], [2.377218985354729, 48.87165148863753], [2.378308103501238, 48.87075241734386], [2.386748352378341, 48.863335036953416], [2.394300442029356, 48.856491711482434], [2.396558055101348, 48.85361441057368], [2.398394056190455, 48.85123228310974], [2.398869257010142, 48.84961403928058], [2.399172668212494, 48.84835556962748], [2.399118444872594, 48.84809448473566], [2.395191121970722, 48.84844792784101], [2.384624564790621, 48.850070442032894], [2.370585539949439, 48.852995856503874], [2.3699728108076252, 48.85317609966919], [2.369019637116847, 48.85322144074504], [2.3690196510526, 48.853445379531394], [2.368545126059852, 48.85560311817136], [2.368408572172818, 48.85573730004936], [2.368408572582041, 48.855962137621376], [2.368340704172586, 48.856501389365086], [2.366642492489265, 48.86311700468547], [2.366098043479301, 48.86406023223137], [2.364191894384677, 48.867116879697264], [2.363851339012572, 48.86743163828077], [2.364464489758917, 48.86779103471644], [2.365691375476316, 48.86824001866678], [2.375924901835885, 48.87156200963451], [2.3770153520998383, 48.87192112928036]]]}";COMMUNE00000000000014100;111;75111;PARIS-11E-ARRONDISSEMENT;654457;6862254;654333;6862563;42;366;153461.0;;1;75;2016;ILE-DE-FRANCE;PARIS;Commune simple;11;ILE-DE-FRANCE;111;PARIS-11E-ARRONDISSEMENT;75056
48.8604673342,2.26190318372;"{""type"": ""Polygon"", ""coordinates"": [[[2.225670292256979, 48.859404562396286], [2.226327993116735, 48.860732676134745], [2.227209118372063, 48.86253079364146], [2.228224867789298, 48.86518325960144], [2.229311843410094, 48.86662203917203], [2.230658982743393, 48.868079566926816], [2.23173635974686, 48.86906858161016], [2.233597178174002, 48.86990611712162], [2.245678236548143, 48.87643478913195], [2.245703788405577, 48.876459232476314], [2.24624979564664, 48.8762279424162], [2.254817140668557, 48.874080881368805], [2.255410336689475, 48.87426354267619], [2.258467171114177, 48.880387263085744], [2.277487029813821, 48.87796832085251], [2.279469949480848, 48.87853156800866], [2.279949332567545, 48.87857312398175], [2.283765477327523, 48.877407987523455], [2.295145392233802, 48.87386197967684], [2.295350820062902, 48.873592486953186], [2.296441453023204, 48.87228586093871], [2.297395254200948, 48.87111332236658], [2.298760189224802, 48.86886666746072], [2.301488462154745, 48.86405941688687], [2.301556272171617, 48.86347523496575], [2.300874717999938, 48.86347485285762], [2.299512652941034, 48.86329511229673], [2.298014751718688, 48.86297965677579], [2.295700383684028, 48.86226006788679], [2.293316462881592, 48.86104537848806], [2.292091768437713, 48.86019184827451], [2.290527186040657, 48.8589774473305], [2.289778276596061, 48.858123113768876], [2.289437862665354, 48.857898951923694], [2.282498103371029, 48.852022499045084], [2.272484695381473, 48.84368156860093], [2.267316733678636, 48.83832214755404], [2.264938054390591, 48.83589362979065], [2.2627915245265138, 48.83392337352384], [2.261405151319141, 48.83408030605973], [2.25530390491147, 48.83479075725014], [2.255144238417505, 48.83480954936942], [2.251709308946856, 48.83882181623443], [2.251299357647796, 48.84213074738531], [2.251218942497661, 48.84289111338925], [2.2506124417161573, 48.84555485121138], [2.239977725861047, 48.849702209874486], [2.225668341007156, 48.85302445830991], [2.2242191058804472, 48.85351691755679], [2.224314779418416, 48.85569580206119], [2.224517586853297, 48.85653802254872], [2.225670292256979, 48.859404562396286]]]}";COMMUNE00000000000001448;116;75116;PARIS-16E-ARRONDISSEMENT;646916;6862865;645631;6862473;43;1641;166552.0;;1;75;2016;ILE-DE-FRANCE;PARIS;Commune simple;11;ILE-DE-FRANCE;116;PARIS-16E-ARRONDISSEMENT;75056
48.8562037309,2.3121193117;"{""type"": ""Polygon"", ""coordinates"": [[[2.320777351580662, 48.86307503594067], [2.322752490911607, 48.8624458929874], [2.331621039819503, 48.8596601027492], [2.3328469000671372, 48.85930090746053], [2.332505450112345, 48.858717123229155], [2.331485211375685, 48.856011571787334], [2.32930567487796, 48.852641183075484], [2.328625547789936, 48.852012315753484], [2.328285018300814, 48.85178736391781], [2.3199648828147152, 48.84814652426939], [2.316628160287652, 48.8467523874773], [2.316425112756123, 48.846753026221826], [2.310558509615869, 48.84677332413766], [2.302191520379336, 48.85034474899809], [2.297886852334149, 48.85294929563777], [2.293593540984887, 48.85568955389425], [2.290051338080391, 48.85798893133366], [2.289778276596061, 48.858123113768876], [2.290527186040657, 48.8589774473305], [2.292091768437713, 48.86019184827451], [2.293316462881592, 48.86104537848806], [2.295700383684028, 48.86226006788679], [2.298014751718688, 48.86297965677579], [2.299512652941034, 48.86329511229673], [2.300874717999938, 48.86347485285762], [2.301556272171617, 48.86347523496575], [2.3141698789746092, 48.86383777393356], [2.317984490954283, 48.863793021295436], [2.318938290985569, 48.863614086467145], [2.320777351580662, 48.86307503594067]]]}";COMMUNE00000000000023570;107;75107;PARIS-7E-ARRONDISSEMENT;650131;6862126;649541;6861995;35;412;56325.0;;1;75;2016;ILE-DE-FRANCE;PARIS;Commune simple;11;ILE-DE-FRANCE;107;PARIS-7E-ARRONDISSEMENT;75056
